file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_22.npz,2,1,9,"(36, 36)","(35, 36)",35.98882293701172,34.511234283447266,2.953554289000749,full,3.0,0.0,5.0
map_data_23.npz,2,1,9,"(26, 28)","(27, 27)",26.894561767578125,27.122119903564453,0.0494326759981049,full,3.0,0.0,5.0
map_data_23.npz,5,1,17,"(26, 28)","(24, 25)",25.35014533996582,24.26301002502441,0.2277551450006285,none,3.605551275463989,0.0,5.0
map_data_24.npz,30,0,9,"(49, 26)","(48, 30)",27.553184509277344,48.62112808227539,24.552923078001182,full,3.0,0.0,5.0
map_data_24.npz,2,1,9,"(49, 26)","(49, 24)",24.427064895629883,48.994361877441406,0.0569770090005476,none,3.605551275463989,0.0,5.0
map_data_25.npz,92,0,17,"(4, 43)","(1, 47)",45.45677185058594,2.085023880004883,24.734943356997974,full,3.0,0.0,5.0
map_data_25.npz,2,1,9,"(4, 43)","(6, 41)",41.95903396606445,5.048150539398193,0.0570423899989691,none,3.605551275463989,0.0,5.0
map_data_26.npz,1,0,1,"(2, 5)","(2, 5)",5.0,2.0,24.88287828600005,full,3.0,0.0,5.0
map_data_26.npz,2,1,9,"(2, 5)","(1, 4)",3.89402174949646,0.9015007019042968,0.0571338549998472,none,3.605551275463989,0.0,5.0
map_data_27.npz,2,1,9,"(8, 42)","(9, 43)",43.046756744384766,8.988447189331055,0.0489186129998415,full,3.0,0.0,5.0
map_data_27.npz,5,1,17,"(8, 42)","(11, 43)",42.94303131103516,10.850826263427734,0.226229724001314,none,3.605551275463989,0.0,5.0
map_data_28.npz,1,0,1,"(3, 37)","(1, 35)",37.0,3.0,29.79701262700109,none,3.605551275463989,0.0,5.0
map_data_28.npz,80,1,25,"(3, 37)","(7, 34)",34.40384292602539,6.505397319793701,18.13125984100043,full,3.0,0.0,5.0
map_data_29.npz,33,0,9,"(28, 26)","(30, 23)",24.67773056030273,28.90235137939453,24.93642244700459,full,3.0,0.0,5.0
map_data_29.npz,28,1,17,"(28, 26)","(26, 23)",23.31741142272949,26.289533615112305,19.59088459700069,none,3.605551275463989,0.0,5.0
map_data_30.npz,2,1,9,"(1, 38)","(1, 40)",39.549198150634766,0.9952190518379213,0.0568312800023704,none,3.605551275463989,0.0,5.0
map_data_30.npz,1,0,1,"(1, 38)","(3, 38)",38.0,1.0,24.500955584997428,full,3.0,0.0,5.0
map_data_31.npz,2,1,9,"(11, 11)","(12, 12)",12.128283500671388,12.105286598205566,0.0569515200004389,none,3.605551275463989,0.0,5.0
map_data_31.npz,1,0,1,"(11, 11)","(13, 9)",11.0,11.0,24.544386476998625,full,3.0,0.0,5.0
map_data_32.npz,1,0,1,"(3, 13)","(5, 16)",13.0,3.0,24.760661403000995,full,3.0,0.0,5.0
map_data_32.npz,1,0,1,"(3, 13)","(3, 15)",13.0,3.0,28.94639149000068,none,3.605551275463989,0.0,5.0
map_data_34.npz,1,0,1,"(32, 17)","(31, 15)",17.0,32.0,24.56633347899333,full,3.0,0.0,5.0
map_data_34.npz,28,0,9,"(32, 17)","(28, 16)",16.61452293395996,30.43061637878418,28.87000202199852,none,3.605551275463989,0.0,5.0
map_data_35.npz,1,0,1,"(13, 10)","(15, 8)",10.0,13.0,24.56334543900448,full,3.0,0.0,5.0
map_data_35.npz,2,1,9,"(13, 10)","(13, 9)",8.441400527954102,13.00291919708252,0.0568487259988614,none,3.605551275463989,0.0,5.0
