file,reached_goal_full,reached_goal_none,nodes_expanded_full,nodes_expanded_none,best_path_len_full,best_path_len_none,runtime_sec_full,runtime_sec_none
map_data_1.npz,1,0,3,1,17,1,0.096883063,24.75193978
map_data_103.npz,1,1,2,2,9,9,0.04844737,0.057442122
map_data_104.npz,1,0,4,27,17,9,0.147624607,28.89098332
map_data_109.npz,1,0,2,1,9,1,0.049696891,29.17308055
map_data_110.npz,1,0,2,1,9,1,0.049298315,30.00666943
map_data_112.npz,1,0,2,3,9,9,0.048764971,29.10186618
map_data_113.npz,1,1,5,4,17,17,0.195699371,0.173606252
map_data_114.npz,1,0,3,1,17,1,0.098651834,29.64521029
map_data_116.npz,1,0,3,27,17,9,0.098080664,29.42809013
map_data_117.npz,1,1,3,2,17,9,0.147435225,0.057270848
map_data_118.npz,1,1,2,4,9,17,0.048958612,0.145774488
map_data_119.npz,1,1,4,2,17,9,0.145565509,0.058229697
map_data_120.npz,1,0,2,1,9,1,0.049458041,29.00110722
map_data_122.npz,1,0,2,1,9,1,0.049458432,28.71303505
map_data_123.npz,1,0,2,1,9,1,0.048759083,29.14185441
map_data_124.npz,1,0,2,1,9,1,0.049682274,28.22567622
map_data_125.npz,1,0,2,35,9,9,0.049466193,24.46585163
map_data_13.npz,1,0,2,1,9,1,0.050158797,29.06698901
map_data_136.npz,1,1,2,2,9,9,0.049382007,0.049662031
map_data_138.npz,1,0,2,1,9,1,0.049525895,29.81763938
map_data_14.npz,1,1,2,2,9,9,0.049626642,0.056930102
map_data_140.npz,1,0,2,1,9,1,0.049344069,29.48358657
map_data_142.npz,1,0,2,1,9,1,0.049543624,29.25757906
map_data_145.npz,1,1,3,4,17,17,0.097953736,0.170073866
map_data_147.npz,1,0,2,1,9,1,0.048820386,28.69658177
map_data_148.npz,1,0,3,1,17,1,0.098627665,29.49305363
map_data_151.npz,1,1,6,5,25,17,0.241592753,0.19533386
map_data_152.npz,1,0,4,1,25,1,0.146869657,29.30977344
map_data_154.npz,1,1,2,5,9,17,0.049517472,0.22700893
map_data_158.npz,1,0,2,1,9,1,4.057822734,28.71954861
map_data_159.npz,1,1,2,2,9,9,0.049630838,0.056860428
map_data_160.npz,1,0,3,1,17,1,0.098625392,29.74247263
map_data_162.npz,1,1,5,7,25,17,0.192977957,0.339896555
map_data_163.npz,1,1,2,2,9,9,0.050680416,0.056884158
map_data_170.npz,1,0,2,1,9,1,0.048982252,29.55777663
map_data_171.npz,1,1,2,2,9,9,0.049057445,1.187500009
map_data_175.npz,1,0,4,1,17,1,0.147176045,29.31108566
map_data_176.npz,1,1,3,5,17,25,0.098889892,0.227081755
map_data_181.npz,1,1,2,4,9,17,0.049644547,0.172066
map_data_182.npz,1,1,2,2,9,9,0.049469418,0.057092358
map_data_187.npz,1,0,2,1,9,1,0.050435792,29.63606434
map_data_191.npz,1,0,2,1,9,1,0.04936053,28.71076615
map_data_197.npz,1,1,2,2,9,9,0.049500966,0.057274253
map_data_198.npz,1,1,3,4,17,17,0.098376902,0.170235977
